100_0_0_20170112213500903,inference
100_0_0_20170112215240346,inference
100_1_0_20170110183726390,training
100_1_0_20170112213001988,training
100_1_0_20170112213303693,training
100_1_0_20170112215032192,inference
100_1_0_20170117195420803,training
100_1_0_20170119212053665,training
100_1_2_20170105174847679,training
100_1_2_20170112213615815,training
100_1_2_20170112222336458,validation
101_0_0_20170112213500903,training
101_1_2_20170105174739309,inference
103_0_2_20170112213001988,training
105_0_0_20170112213001988,training
105_1_0_20170112213001988,training
105_1_0_20170112213021902,validation
105_1_0_20170112213507183,training
105_1_1_20170112213303693,training
10_0_0_20161220222308131,inference
10_0_0_20170103200329407,training
10_0_0_20170103200522151,training
10_0_0_20170103233459275,inference
10_0_0_20170104013211746,training
10_0_0_20170110215927291,validation
10_0_0_20170110220033115,training
10_0_0_20170110220111082,training
10_0_0_20170110220235233,validation
10_0_0_20170110220251986,training
10_0_0_20170110220255346,training
10_0_0_20170110220316298,inference
10_0_0_20170110220403810,inference
10_0_0_20170110220447314,training
10_0_0_20170110220503946,validation
10_0_0_20170110220514186,training
10_0_0_20170110220530650,training
10_0_0_20170110220539329,training
10_0_0_20170110220541850,training
10_0_0_20170110220546177,training
10_0_0_20170110220548521,inference
10_0_0_20170110220557169,training
10_0_0_20170110220644705,inference
10_0_0_20170110220654150,training
10_0_0_20170110221714752,training
10_0_0_20170110221719390,training
10_0_0_20170110221811823,training
10_0_0_20170110224223937,training
10_0_0_20170110224238891,validation
10_0_0_20170110224253445,validation
10_0_0_20170110224255796,validation
10_0_0_20170110224402264,training
10_0_0_20170110224406532,validation
10_0_0_20170110224416035,training
10_0_0_20170110224500062,training
10_0_0_20170110224524253,validation
10_0_0_20170110224549512,training
10_0_0_20170110224725285,training
10_0_0_20170110224757882,training
10_0_0_20170110225013755,training
10_0_0_20170110225035898,training
10_0_0_20170110225227587,training
10_0_0_20170110225243501,inference
10_0_0_20170110225246490,inference
10_0_0_20170110225252799,training
10_0_0_20170110225402690,training
10_0_0_20170110225414790,training
10_0_0_20170110225417177,training
10_0_0_20170110225421531,training
10_0_0_20170110225442428,inference
10_0_0_20170110225444491,training
10_0_0_20170110225451638,training
10_0_0_20170110225502403,training
10_0_0_20170110225505288,training
10_0_0_20170110225518663,training
10_0_0_20170110225528484,training
10_0_0_20170110225537307,validation
10_0_0_20170110225546130,training
10_0_0_20170110225557604,training
10_0_0_20170110225601897,training
10_0_0_20170116201102149,training
10_0_0_20170116201328751,inference
10_0_0_20170116201337172,training
10_0_0_20170117135444407,training
10_0_0_20170117143048181,validation
10_0_0_20170117175625724,inference
10_0_0_20170120220628194,training
10_0_1_20170104010841239,inference
10_0_1_20170110220507258,training
10_0_1_20170110220523360,training
10_0_1_20170110223455893,training
10_0_1_20170110223848885,validation
10_0_1_20170110225121326,training
10_0_1_20170110225339066,training
10_0_1_20170116225209209,training
10_0_2_20170110224230094,inference
10_0_2_20170116162109013,inference
10_0_3_20161220215952636,training
10_0_3_20170104225233504,validation
10_0_3_20170104225238736,training
10_0_3_20170105175322885,inference
10_0_4_20161221192738446,training
10_0_4_20170103200335831,training
10_0_4_20170103200409638,training
10_0_4_20170103200443015,validation
10_0_4_20170103200501766,training
10_0_4_20170103201924664,training
10_0_4_20170103202338152,validation
10_0_4_20170103212521420,training
10_0_4_20170103223451479,validation
10_0_4_20170104010810728,training
10_1_0_20161220222001459,training
10_1_0_20170103175323250,training
10_1_0_20170103200654246,validation
10_1_0_20170109201728056,inference
10_1_0_20170109202251032,validation
10_1_0_20170109202346880,training
10_1_0_20170109203218966,training
10_1_0_20170109203245653,training
10_1_0_20170109203357787,training
10_1_0_20170109203427416,training
10_1_0_20170109203438428,training
10_1_0_20170109203501969,training
10_1_0_20170109203512075,training
10_1_0_20170109203556029,inference
10_1_0_20170109203608654,validation
10_1_0_20170109203642966,training
10_1_0_20170109203653735,training
10_1_0_20170109203759972,training
